title,author,rating,gender,publisher,publishDate
The Road,Cormac McCarthy,3.97,m,Alfred A. Knopf,10/02/06
The Brothers Karamazov,"Fyodor Dostoyevsky, Fyodor Dostoyevsky",4.32,m;m,"Farrar, Straus and Giroux",06/14/02
Angela's Ashes,Frank McCourt,4.11,m,Harper Perennial,10/03/05
Vampire Academy,Richelle Mead,4.12,w,Razorbill,08/16/07
Siddhartha,Hermann Hesse,4.03,m,Bantam Books,12/01/81
The Poisonwood Bible,Barbara Kingsolver,4.06,w,Harper Perennial Modern Classics,07/05/05
The Golden Compass,Philip Pullman,3.99,m,Alfred A. Knopf Books for Young Readers,04/16/96
The Notebook,Nicholas Sparks,4.11,m,Grand Central Publishing,01/05/00
Winnie-the-Pooh,A.A. Milne,4.34,m,Dutton Juvenile,10/01/01
The Complete Stories and Poems,Edgar Allan Poe,4.38,m,"Doubleday & Company, Inc.",08/15/84
Interview with the Vampire,Anne Rice,4.0,w,Ballantine Books,08/31/04
A Prayer for Owen Meany,John Irving,4.23,m,Black Swan,10/28/90
"Moby-Dick or, the Whale",Herman Melville,3.51,m,Penguin Classics,02/21/03
The Red Tent,Anita Diamant,4.18,w,St. Martin's Press,10/28/97
The Secret Life of Bees,Sue Monk Kidd,4.06,w,Penguin Books,01/28/03
Clockwork Angel,Cassandra Clare,4.32,w,"Simon & Schuster, Margaret K. McElderry",08/31/10
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,m,Scholastic Inc.,09/16/06
And Then There Were None,Agatha Christie,4.26,w,St. Martin's Press,05/03/04
Middlesex,Jeffrey Eugenides,4.01,m,Picador USA,09/16/03
The Name of the Wind,Patrick Rothfuss,4.53,m,Penguin Group DAW,04/28/07
Eragon,Christopher Paolini,3.9,m,Alfred A. Knopf,04/28/05
Flowers for Algernon,Daniel Keyes,4.14,m,,
On the Road,Jack Kerouac,3.62,m,Penguin Books,01/01/76
The Metamorphosis,Franz Kafka,3.82,m,Bantam Classics,03/01/72
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,m,Vintage,05/18/04
The Very Hungry Caterpillar,Eric Carle,4.3,m,Puffin Books,10/28/94
Tuesdays with Morrie,Mitch Albom,4.11,m,Warner,10/28/00
Where the Red Fern Grows,Wilson Rawls,4.08,m,Yearling,05/09/00
The Godfather,Mario Puzo,4.36,m,NAL,03/01/02
The Scarlet Letter,Nathaniel Hawthorne,3.41,m,Penguin Books,02/27/03
In Cold Blood,Truman Capote,4.07,m,Vintage,10/28/94
Fight Club,Chuck Palahniuk,4.19,m,W. W. Norton Company,05/01/18
The Five People You Meet in Heaven,Mitch Albom,3.94,m,Hyperion,09/23/03
"Hush, Hush",Becca Fitzpatrick,3.97,w,Simon & Schuster BFYR,10/13/09
The Cat in the Hat,Dr. Seuss,4.17,m,Random House Books for Young Readers,10/28/85
American Gods,Neil Gaiman,4.11,m,William Morrow,06/21/11
The Count of Monte Cristo,Alexandre Dumas,4.25,m,Penguin Classics,05/27/03
Lonesome Dove,Larry McMurtry,4.48,m,Pocket Books,10/01/99
Perfume: The Story of a Murderer,Patrick Süskind,4.02,m,Penguin Books,10/28/87
Holes,Louis Sachar,3.97,m,Scholastic,09/02/00
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.22,m,HarperCollins Publishers,10/28/05
Watchmen,Alan Moore,4.36,m,DC Comics,10/28/05
The Last Olympian,Rick Riordan,4.51,m,Disney ● Hyperion Books,05/05/09
The Little House Collection,Laura Ingalls Wilder,4.34,w,Avon Books,10/07/03
The Divine Comedy,Dante Alighieri,4.05,m,Everyman's Library,08/01/95
Peter Pan,J.M. Barrie,4.05,m,Henry Holt and Co.,10/01/03
All Quiet on the Western Front,Erich Maria Remarque,3.98,m,Ballantine Books,03/12/87
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.27,m,Houghton Mifflin,08/15/02
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company,4.44,m,Applause Books,02/01/94
Love in the Time of Cholera,Gabriel García Márquez,3.92,m,Vintage International,10/05/03
Shadow Kiss,Richelle Mead,4.35,w,Razorbill,11/13/08
A Walk to Remember,Nicholas Sparks,4.18,m,Grand Central Publishing,05/24/00
How the Grinch Stole Christmas!,Dr. Seuss,4.36,m,Harper Collins Children's Books,10/04/04
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.36,m,Del Rey Books,04/28/02
Atonement,Ian McEwan,3.91,m,Anchor Books,03/28/03
The Importance of Being Earnest,Oscar Wilde,4.18,m,Prestwick House,10/28/05
"Eat, Pray, Love",Elizabeth Gilbert,3.57,w,Riverhead Books,02/01/07
Their Eyes Were Watching God,Zora Neale Hurston,3.94,w,Amistad,05/30/06
The Three Musketeers,Alexandre Dumas,4.07,m,Modern Library,02/13/01
The Wonderful Wizard of Oz,L. Frank Baum,3.98,m,Penguin,10/28/95
Frostbite,Richelle Mead,4.27,w,Razorbill,04/10/08
Goodnight Moon,Margaret Wise Brown,4.28,w,HarperCollins,01/23/07
The Lorax,Dr. Seuss,4.34,m,Random House Books for Young Readers,02/24/98
Blood Promise,Richelle Mead,4.32,w,Razorbill,08/25/09
Tess of the D'Urbervilles,Thomas Hardy,3.8,m,Penguin Classics,01/30/03
The Good Earth,Pearl S. Buck,3.99,w,Howard Publishing Co,03/04/09
Heart of Darkness,Joseph Conrad,3.43,m,Green Integer,10/01/03
The Battle of the Labyrinth,Rick Riordan,4.39,m,Hyperion Books for Children,03/06/08
A Midsummer Night's Dream,William Shakespeare,3.95,m,Simon & Schuster Paperbacks,07/28/16
Clockwork Princess,Cassandra Clare,4.57,w,Walker Books Ltd,09/05/13
The Prophet,Kahlil Gibran,4.22,m,Rupa & Co,01/01/10
The Mists of Avalon,Marion Zimmer Bradley,4.11,w,Ballantine Books,07/15/01
The Titan's Curse,Rick Riordan,4.35,m,Puffin Books,05/05/07
The Sea of Monsters,Rick Riordan,4.24,m,Hyperion Books,04/01/06
The Joy Luck Club,Amy Tan,3.93,w,Penguin Group,09/21/06
Alice in Wonderland,Jane Carruth (Adapted By),4.02,w,Gramercy Books,09/07/04
The Call of the Wild,Jack London,3.87,m,Scholastic,01/01/01
Jonathan Livingston Seagull,Richard Bach,3.84,m,Scribner,02/07/06
Madame Bovary,Gustave Flaubert,3.68,m,Oxford University Press,10/28/04
The Phantom Tollbooth,Norton Juster,4.2,m,Random House Bullseye Books,10/28/96
Bridge to Terabithia,Katherine Paterson,4.01,w,HarperCollins,10/06/09
The Hunger Games Trilogy Boxset,Suzanne Collins,4.48,w,Scholastic Press,08/24/10
"Oh, the Places You'll Go!",Dr. Seuss,4.35,m,Random House Books for Young Readers,01/22/90
The Girl Who Played with Fire,Stieg Larsson,4.24,m,Alfred A. Knopf,07/28/09
The Neverending Story,Michael Ende,4.17,m,Dutton Children's Books,10/28/97
Ulysses,James Joyce,3.73,m,Vintage,10/28/90
Treasure Island,Robert Louis Stevenson,3.83,m,Kingfisher,09/15/01
The Clan of the Cave Bear,Jean M. Auel,4.05,m,Bantam,10/06/16
The Canterbury Tales,Geoffrey Chaucer,3.5,m,Penguin Books/Penguin Classics,01/30/03
The World According to Garp,John Irving,4.09,m,Ballantine Books,04/01/99
A Farewell to Arms,Ernest Hemingway,3.81,m,Arrow Books,10/28/04
David Copperfield,Charles Dickens,4.0,m,Penguin,10/28/04
Tote Mädchen lügen nicht,Jay Asher,3.92,m,cbt,03/16/09
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,3.54,m,William Morrow Paperbacks,10/28/00
Shōgun,James Clavell,4.39,m,Dell,02/19/09
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,m,Mariner Books,04/04/06
Murder on the Orient Express,Agatha Christie,4.17,w,HarperCollins,06/04/07
His Dark Materials,Philip Pullman,4.25,m,Laurel Leaf Library,09/23/03
A Little Princess,Frances Hodgson Burnett,4.2,w,Penguin Books,02/26/02
The Other Boleyn Girl,Philippa Gregory,4.07,w,Washington Square Press,05/21/03
Schindler's List,Thomas Keneally,4.34,m,Sceptre,02/17/94
The Boy in the Striped Pajamas,John Boyne,4.15,m,David Fickling Books,09/12/06
Jurassic Park,Michael Crichton,4.04,m,Ballantine Books,05/14/12
Last Sacrifice,Richelle Mead,4.39,w,Razorbill,12/07/10
Fallen,Lauren Kate,3.73,m,Delacorte Press,12/08/09
The Silmarillion,J.R.R. Tolkien,3.93,m,Houghton Mifflin Company,11/15/04
The Secret Magdalene,Ki Longfellow,4.07,m,Crown,03/27/07
Beloved,Toni Morrison,3.87,m,Vintage,06/08/04
The Trial,Franz Kafka,3.96,m,Vintage,04/09/01
A Confederacy of Dunces,John Kennedy Toole,3.89,m,Grove Press,01/28/94
The Sun Also Rises,Ernest Hemingway,3.82,m,Pan Books,10/28/57
The Velveteen Rabbit,Margery Williams Bianco,4.29,w,Avon,04/01/87
Catching Fire,Suzanne Collins,4.29,w,Scholastic Press,09/01/09
The Lost Hero,Rick Riordan,4.33,m,Disney ● Hyperion Books,10/12/10
Throne of Glass,Sarah J. Maas,4.2,w,Bloomsbury USA Children's,08/07/12
Spirit Bound,Richelle Mead,4.35,w,Razorbill,05/18/10
Clockwork Prince,Cassandra Clare,4.44,w,"Simon & Schuster, Margaret K. McElderry",12/06/11
The Iliad/The Odyssey,Homer,4.04,m,Penguin Classics,11/01/99
The Crucible,Arthur Miller,3.59,m,Penguin Books,03/25/03
Cat's Cradle,Kurt Vonnegut Jr.,4.16,m,Penguin,10/28/99
The God of Small Things,Arundhati Roy,3.94,m,Random House,10/28/97
The Wind in the Willows,Kenneth Grahame,3.98,m,Penguin Books,10/27/05
The Screwtape Letters,C.S. Lewis,4.22,m,,
Girl with a Pearl Earring,Tracy Chevalier,3.89,m,Plume/Penguin,10/28/05
A Light in the Attic,Shel Silverstein,4.34,m,Harpercollins Childrens Books,10/07/02
The Silence of the Lambs,Thomas Harris,4.2,m,Arrow Books,10/28/02
Shiver,Maggie Stiefvater,3.77,w,Scholastic Press,08/01/09
Uglies,Scott Westerfeld,3.86,m,Simon Pulse,02/08/05
City of Fallen Angels,Cassandra Clare,4.12,w,"Simon & Schuster Children's, Margaret K. McElderry Books",04/05/11
Man's Search for Meaning,Viktor E. Frankl,4.36,m,Beacon Press,06/01/06
She's Come Undone,Wally Lamb,3.88,m,Pocket,06/28/98
The Phantom of the Opera,Gaston Leroux,3.96,m,Harper Perennial,12/30/87
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.13,m,William Morrow; 1ST edition,10/18/05
Ella Enchanted,Gail Carson Levine,3.98,m,Scholastic Books,09/01/98
The Wind-Up Bird Chronicle,Haruki Murakami,4.16,m,Knopf,10/28/97
Cinder,Marissa Meyer,4.14,w,Feiwel & Friends,10/28/12
The Green Mile,Stephen King,4.45,m,Penguin Signet,09/01/96
The Sound and the Fury,William Faulkner,3.86,m,Vintage International,10/28/90
For Whom the Bell Tolls,Ernest Hemingway,3.97,m,Scribner,10/28/95
Fear and Loathing in Las Vegas,Hunter S. Thompson,4.08,m,Vintage Books,06/28/98
The House of the Spirits,Isabel Allende,4.24,w,Dial Press Trade Paperback,08/30/05
The Complete Calvin and Hobbes,Bill Watterson,4.82,m,Andrews McMeel Publishing,09/06/05
Roots: The Saga of an American Family,Alex Haley,4.43,m,Dell Publishing Company,01/01/77
Misery,Stephen King,4.17,m,New English Library,11/01/88
Howl's Moving Castle,Diana Wynne Jones,4.26,w,Harper Trophy,08/01/01
Stranger in a Strange Land,Robert A. Heinlein,3.92,m,Ace,10/01/91
Island of the Blue Dolphins,Scott O'Dell,3.84,m,HMH Books for Young Readers,02/08/10
Midnight Sun [2008 Draft],Stephenie Meyer,4.02,m,,08/28/08
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,4.22,m,Knopf,05/23/10
The Secret History,Donna Tartt,4.09,w,Vintage,04/13/04
White Oleander,Janet Fitch,3.97,w,"Little, Brown and Company",09/01/01
The Diary of a Young Girl,Anne Frank,4.15,w,Bantam,07/28/93
Delirium,Lauren Oliver,3.97,m,HarperCollins,02/07/12
Beautiful Disaster,Jamie McGuire,4.09,m,Jamie McGuire,05/26/11
Othello,William Shakespeare,3.9,m,Simon Schuster,01/01/04
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,4.42,m,Eio Books,08/20/09
The Vampire Lestat,Anne Rice,4.07,w,Ballantine Books,08/31/04
Speak,Laurie Halse Anderson,4.02,w,"Farrar, Straus and Giroux (Byr)",01/15/19
The Idiot,Fyodor Dostoyevsky,4.18,m,Modern Library,04/08/03
King Lear,William Shakespeare,3.91,m,Simon Schuster,01/01/04
The Once and Future King,T.H. White,4.05,m,Ace,06/15/87
I Know This Much Is True,Wally Lamb,4.19,m,ReganBooks,05/28/99
Neverwhere,Neil Gaiman,4.17,m,William Morrow Paperbacks,09/02/03
Into the Wild,Jon Krakauer,3.99,m,Anchor Books,01/20/97
Inkheart,Cornelia Funke,3.88,w,Scholastic Paperbacks,05/01/05
Uncle Tom's Cabin,Harriet Beecher Stowe,3.87,w,Wordsworth Classics,08/05/99
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,4.24,m,William Morrow / HarperCollins / Harper Perennial,05/25/04
The Historian,Elizabeth Kostova,3.79,w,"Little, Brown and Company",06/01/05
The Complete Sherlock Holmes,Arthur Conan Doyle,4.48,m,Bantam Classics,10/01/86
Candide,Voltaire,3.77,m,Dover Publications,10/28/91
James and the Giant Peach,Roald Dahl,4.02,m,Alfred A. Knopf,09/10/02
Invisible Man,Ralph Ellison,3.88,m,Vintage,02/01/95
Blood River: A Journey to Africa's Broken Heart,Tim Butcher,4.06,m,Vintage,01/03/08
Paradise Lost,John Milton,3.81,m,Penguin Classics,02/27/03
Leaves of Grass,Walt Whitman,4.12,m,Simon Schuster,08/01/06
All Creatures Great and Small,James Herriot,4.32,m,St. Martin's Paperbacks,04/15/98
Graceling,Kristin Cashore,4.08,w,Harcourt,10/01/08
The Complete Works,William Shakespeare,4.5,m,Gramercy,09/08/90
The Thirteenth Tale,Diane Setterfield,3.97,w,Atria Books,09/12/06
Foundation,Isaac Asimov,4.17,m,Bantam,06/01/04
The Things They Carried,Tim O'Brien,4.13,m,Broadway Books,12/29/98
The Cider House Rules,John Irving,4.13,m,Thorndike Press,07/01/00
The Time Machine,H.G. Wells,3.89,m,Signet Classics,10/01/02
Different Seasons,Stephen King,4.34,m,Warner Books,02/16/95
Kafka on the Shore,Haruki Murakami,4.13,m,Vintage International,01/03/06
Heidi,Johanna Spyri,3.99,w,Kingfisher,11/15/02
"Are You There God? It's Me, Margaret",Judy Blume,3.9,w,Richard Jackson/Athaneum Books for Young Readers,09/28/01
City of Lost Souls,Cassandra Clare,4.27,w,Margaret K. McElderry Books,05/08/12
Sophie's World,Jostein Gaarder,3.93,m,Phoenix,10/28/95
Walden,Henry David Thoreau,3.78,m,Princeton University Press,04/18/04
The Wise Man's Fear,Patrick Rothfuss,4.56,m,DAW Books,03/01/11
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.92,m,نشر داستان,01/01/15
Sophie's Choice,William Styron,4.18,m,Vintage Books,03/03/92
The Prince of Tides,Pat Conroy,4.24,m,Dial Press Trade Paperback,03/26/02
Never Let Me Go,Kazuo Ishiguro,3.82,m,Vintage Books,08/31/10
The Son of Neptune,Rick Riordan,4.43,m,Disney ● Hyperion Books,10/04/11
Dead Until Dark,Charlaine Harris,3.96,w,Ace Books,05/01/01
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,w,Random House,05/07/02
Middlemarch,George Eliot,3.97,m,Signet,10/28/04
The Monster at the End of this Book,Jon Stone,4.44,m,Golden Books,05/11/04
A Court of Mist and Fury,Sarah J. Maas,4.62,w,Bloomsbury USA Childrens,05/03/16
Things Fall Apart,Chinua Achebe,3.68,m,Anchor Books,10/28/94
Mrs. Dalloway,Virginia Woolf,3.79,w,Houghton Mifflin Harcourt,10/28/02
Mockingjay,Suzanne Collins,4.04,w,Scholastic Press,08/24/10
Franny and Zooey,J.D. Salinger,3.98,m,Back Bay Books,01/30/01
The Power of One,Bryce Courtenay,4.33,m,Ballantine Books,09/29/96
The Magician's Nephew,C.S. Lewis,4.04,m,HarperCollins Publishers,05/04/05
Stardust,Neil Gaiman,4.08,m,Harper Perennial,08/29/06
A Time to Kill,John Grisham,4.07,m,Dell,03/15/04
The Gunslinger,Stephen King,3.95,m,Plume,07/28/03
Number the Stars,Lois Lowry,4.15,w,Laurel Leaf,02/09/98
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.08,m,Ballantine Books,02/26/08
A Short History of Nearly Everything,Bill Bryson,4.2,m,Broadway Books,09/14/04
The Lord of the Rings,J.R.R. Tolkien,4.5,m,Houghton Mifflin Harcourt,10/12/05
The Mark of Athena,Rick Riordan,4.45,m,Disney-Hyperion Books,10/02/12
The Art of Racing in the Rain,Garth Stein,4.21,m,Harper Collins,05/13/08
The Way of Kings,Brandon Sanderson,4.63,m,Tor Books,08/31/10
Black Beauty,Anna Sewell,3.96,w,Scholastic Paperbacks,03/01/03
Legend,Marie Lu,4.17,w,Putnam Juvenile,11/29/11
The Hound of the Baskervilles,Arthur Conan Doyle,4.12,m,Signet,07/01/01
A Portrait of the Artist as a Young Man,"James Joyce, Hans Walter Gabler",3.62,m;m,Penguin Classics,03/25/03
Gulliver's Travels,Jonathan Swift,3.57,m,Penguin,01/30/03
Bel Canto,Ann Patchett,3.93,w,Harper Perennial,08/02/05
American Psycho,Bret Easton Ellis,3.82,m,Vintage Contemporaries / Random House,03/28/91
V for Vendetta,Alan Moore,4.25,m,Vertigo,11/01/05
Love You Forever,Robert Munsch,4.36,m,Firefly Books,09/01/95
The Witches,Roald Dahl,4.17,m,Scholastic Inc.,10/28/97
القرآن الكريم,Anonymous,4.35,m,,10/28/50
The Graveyard Book,Neil Gaiman,4.13,m,HarperCollins,09/30/08
The Complete Novels,Jane Austen,4.56,w,Penguin,06/17/96
Cold Mountain,Charles Frazier,3.86,m,Grove Press,09/01/06
White Fang,Jack London,3.98,m,Scholastic Paperbacks,01/01/01
Wonder,R.J. Palacio,4.44,m,Alfred A. Knopf,02/14/12
Beowulf,Unknown,3.45,m,W.W. Norton & Company,02/17/01
Tuck Everlasting,Natalie Babbitt,3.87,w,Farrar Straus Giroux,11/01/85
The Final Empire,Brandon Sanderson,4.45,m,Tor Books,07/25/06
Steppenwolf,Hermann Hesse,4.13,m,Penguin,10/28/99
Eldest,Christopher Paolini,3.99,m,Knopf Books for Young Readers,03/13/07
Dark Lover,J.R. Ward,4.19,m,Penguin Group (USA),09/06/05
انتحار فاشل,أحمد جمال الدين رمضان,4.51,m,دار ليلى كيان كورب,10/28/16
The Eye of the World,Robert Jordan,4.17,m,Tor Books,11/15/90
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.17,m,Bantam Classics,09/28/04
As I Lay Dying,William Faulkner,3.72,m,Vintage,01/30/91
A Separate Peace,John Knowles,3.58,m,Scribner,09/30/03
The Complete Maus,Art Spiegelman,4.55,m,Penguin Books,10/02/03
Mansfield Park,Jane Austen,3.86,w,Penguin Books,10/28/03
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,m,Picador USA,08/25/01
Brisingr,Christopher Paolini,4.05,m,Alfred A. Knopf,09/20/08
العصبي,أحمد جمال الدين رمضان,4.52,m,دار ليلى كيان كورب,10/28/16
"A Child Called ""It""",Dave Pelzer,4.11,m,Health Communications Inc,09/01/95
Stargirl,Jerry Spinelli,3.76,m,Scholastic,09/28/02
Tao Te Ching,Lao Tzu,4.28,m,Vintage,08/28/89
Dear John,Nicholas Sparks,4.03,m,Warner Books (NY),10/30/06
Midnight's Children,Salman Rushdie,3.98,m,Vintage,05/01/95
Obsidian,Jennifer L. Armentrout,4.18,w,Entangled Teen,05/08/12
'Salem's Lot,Stephen King,4.03,m,New English Library,10/28/91
The Martian Chronicles,Ray Bradbury,4.14,m,Bantam/Spectra,06/01/84
The English Patient,Michael Ondaatje,3.88,m,McClelland & Stewart,04/18/06
East of Eden,John Steinbeck,4.38,m,Penguin Books,10/28/02
Cloud Atlas,David Mitchell,4.01,m,Random House,08/17/04
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,m,HarperTorch,04/25/06
The Martian,Andy Weir,4.4,m,Crown,02/11/14
The Firm,John Grisham,4.02,m,Addison Wesley Publishing Company,02/15/00
The Last Song,Nicholas Sparks,4.15,m,Grand Central Publishing,09/08/09
My Ántonia,Willa Cather,3.8,w,New Millennium Library,02/20/00
Shatter Me,Tahereh Mafi,3.95,w,Harper,11/15/11
The Amber Spyglass,Philip Pullman,4.09,m,Laurel Leaf,09/09/03
Doctor Zhivago,Boris Pasternak,4.01,m,Pantheon,03/18/97
The Hunchback of Notre-Dame,Victor Hugo,3.99,m,Signet Classics,04/10/01
Robinson Crusoe,Daniel Defoe,3.68,m,Modern Library,06/12/01
Like Water for Chocolate,Laura Esquivel,3.95,w,Black Swan,09/16/93
Breakfast at Tiffany's and Three Stories,Truman Capote,3.88,m,Vintage Books,10/28/93
Room,Emma Donoghue,4.06,w,"Little, Brown and Company",09/13/10
Dragonfly in Amber,Diana Gabaldon,4.32,w,Bantam,08/07/01
Breakfast of Champions,Kurt Vonnegut Jr.,4.07,m,Dell Publishing,05/28/99
The BFG,Roald Dahl,4.22,m,Puffin Books,10/28/01
Harry Potter Series Box Set,J.K. Rowling,4.73,m,Arthur A. Levine Books,10/01/07
The Origin of Species,Charles Darwin,3.98,m,Castle Books,05/01/04
A Fine Balance,Rohinton Mistry,4.35,m,Vintage,11/30/01
Daughter of Smoke & Bone,Laini Taylor,4.01,m,"Little, Brown Books for Young Readers",09/27/11
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.82,m,Signet Classics,09/02/03
City of Heavenly Fire,Cassandra Clare,4.44,w,Margaret K. McElderry Books,05/27/14
Evermore,Alyson Noel,3.59,w,St. Martin's Griffin,02/03/09
The Subtle Knife,Philip Pullman,4.13,m,RHCP Digital,09/28/18
Death of a Salesman,Arthur Miller,3.53,m,Heinemann Library,03/18/94
11/22/63,Stephen King,4.31,m,Scribner,11/08/11
Midnight in the Garden of Good and Evil,John Berendt,3.92,m,Vintage,06/28/99
A Streetcar Named Desire,Tennessee Williams,3.98,m,Dramatists Play Service,12/01/52
Infinite Jest,David Foster Wallace,4.28,m,Back Bay Books,10/28/05
The Prince,Niccolò Machiavelli,3.82,m,Dante University of America Press,06/01/03
Hamlet,William Shakespeare,4.02,m,Cambridge University Press,08/01/05
"Faust, First Part",Johann Wolfgang von Goethe,3.93,m,Bantam Classics,07/01/88
Snow Flower and the Secret Fan,Lisa See,4.08,w,Random House,06/28/05
The Remains of the Day,Kazuo Ishiguro,4.12,m,Faber & Faber,10/28/05
Anna and the French Kiss,Stephanie Perkins,4.01,w,Dutton Juvenile,12/02/10
A Feast for Crows,George R.R. Martin,4.14,m,Bantam Books,10/28/11
The Angel Experiment,James Patterson,4.07,m,Grand Central Publishing,05/05/06
